iter,t,x,y,theta,vx,vy
336,8.400000,1020.514719,326.000000,0.000000,1.800000,0.000000
337,8.425000,1021.407576,326.000000,0.000000,1.800000,0.000000
338,8.450000,1022.300433,326.000000,0.000000,1.800000,0.000000
339,8.475000,1023.193290,326.000000,0.000000,1.800000,0.000000
340,8.500000,1024.086147,326.000000,0.000000,1.800000,0.000000
341,8.525000,1024.979004,326.000000,0.000000,1.800000,0.000000
342,8.550000,1025.871861,326.000000,0.000000,1.800000,0.000000
343,8.575000,1026.764719,326.000000,0.000000,1.800000,0.000000
344,8.600000,1027.657576,326.000000,0.000000,1.800000,0.000000
345,8.625000,1028.550433,326.000000,0.000000,1.800000,0.000000
346,8.650000,1029.443290,326.000000,0.000000,1.800000,0.000000
347,8.675000,1030.336147,326.000000,0.000000,1.800000,0.000000
348,8.700000,1031.229004,326.000000,0.000000,1.800000,0.000000
349,8.725000,1032.121861,326.000000,0.000000,1.800000,0.000000
350,8.750000,1033.014719,326.000000,0.000000,1.800000,0.000000
351,8.775000,1033.907576,326.000000,0.000000,1.800000,0.000000
352,8.800000,1034.800433,326.000000,0.000000,1.800000,0.000000
353,8.825000,1035.693290,326.000000,0.000000,1.800000,0.000000
354,8.850000,1036.586147,326.000000,0.000000,1.800000,0.000000
355,8.875000,1037.479004,326.000000,0.000000,1.800000,0.000000
356,8.900000,1038.371861,326.000000,0.000000,1.800000,0.000000
357,8.925000,1039.264719,326.000000,0.000000,1.800000,0.000000
358,8.950000,1040.157576,326.000000,0.000000,1.800000,0.000000
359,8.975000,1041.050433,326.000000,0.000000,1.800000,0.000000
360,9.000000,1041.943290,326.000000,0.000000,1.800000,0.000000
361,9.025000,1042.836147,326.000000,0.000000,1.800000,0.000000
362,9.050000,1043.729004,326.000000,0.000000,1.800000,0.000000
363,9.075000,1044.621861,326.000000,0.000000,1.800000,0.000000
364,9.100000,1045.514719,326.000000,0.000000,1.800000,0.000000
365,9.125000,1046.407576,326.000000,0.000000,1.800000,0.000000
366,9.150000,1047.300433,326.000000,0.000000,1.800000,0.000000
367,9.175000,1048.193290,326.000000,0.000000,1.800000,0.000000
368,9.200000,1049.086147,326.000000,0.000000,1.800000,0.000000
369,9.225000,1049.979004,326.000000,0.000000,1.800000,0.000000
370,9.250000,1050.871861,326.000000,0.000000,1.800000,0.000000
371,9.275000,1051.540738,325.459262,-0.679858,1.399791,-1.131629
372,9.300000,1052.243362,325.000000,-0.578929,1.506689,-0.984829
373,9.325000,1053.136219,325.000000,0.000000,1.800000,0.000000
374,9.350000,1054.029076,325.000000,0.000000,1.800000,0.000000
375,9.375000,1054.921934,325.000000,0.000000,1.800000,0.000000
376,9.400000,1055.814791,325.000000,0.000000,1.800000,0.000000
377,9.425000,1056.707648,325.000000,0.000000,1.800000,0.000000
378,9.450000,1057.600505,325.000000,0.000000,1.800000,0.000000
379,9.475000,1058.493362,325.000000,0.000000,1.800000,0.000000
380,9.500000,1059.386219,325.000000,0.000000,1.800000,0.000000
381,9.525000,1060.279076,325.000000,0.000000,1.800000,0.000000
382,9.550000,1061.171934,325.000000,0.000000,1.800000,0.000000
383,9.575000,1062.064791,325.000000,0.000000,1.800000,0.000000
384,9.600000,1062.957648,325.000000,0.000000,1.800000,0.000000
385,9.625000,1063.850505,325.000000,0.000000,1.800000,0.000000
386,9.650000,1064.743362,325.000000,0.000000,1.800000,0.000000
387,9.675000,1065.636219,325.000000,0.000000,1.800000,0.000000
388,9.700000,1066.529076,325.000000,0.000000,1.800000,0.000000
389,9.725000,1067.421934,325.000000,0.000000,1.800000,0.000000
390,9.750000,1068.314791,325.000000,0.000000,1.800000,0.000000
391,9.775000,1069.207648,325.000000,0.000000,1.800000,0.000000
392,9.800000,1070.100505,325.000000,0.000000,1.800000,0.000000
393,9.825000,1070.993362,325.000000,0.000000,1.800000,0.000000
394,9.850000,1071.886219,325.000000,0.000000,1.800000,0.000000
395,9.875000,1072.779076,325.000000,0.000000,1.800000,0.000000
